Protein,idx
ENSP00000391747,15136
ENSP00000382840,14397
ENSP00000366748,12341
ENSP00000262032,2450
ENSP00000302801,5346
ENSP00000363134,11751
ENSP00000417963,16359
ENSP00000225538,775
ENSP00000265087,3011
ENSP00000386239,14776
ENSP00000466799,18213
ENSP00000268150,3266
ENSP00000401399,15596
ENSP00000200557,237
ENSP00000282096,3923
ENSP00000070846,104
ENSP00000333813,7933
ENSP00000446916,17621
ENSP00000293255,4456
ENSP00000402584,15662
ENSP00000254695,1832
ENSP00000346050,9028
ENSP00000478212,18653
ENSP00000301740,5244
ENSP00000222250,669
ENSP00000358730,10817
ENSP00000216479,421
ENSP00000349437,9369
ENSP00000420132,16506
ENSP00000452123,17789
ENSP00000263334,2694
ENSP00000362918,11707
ENSP00000351908,9642
ENSP00000363317,11782
ENSP00000370376,12915
ENSP00000218548,511
ENSP00000344393,8861
ENSP00000358854,10849
ENSP00000393795,15239
ENSP00000477776,18619
ENSP00000286835,4155
ENSP00000313869,6339
ENSP00000221418,609
ENSP00000447006,17626
ENSP00000318165,6631
ENSP00000332679,7830
ENSP00000384570,14564
ENSP00000261584,2359
ENSP00000359864,11067
ENSP00000279441,3801
ENSP00000319636,6744
ENSP00000265395,3055
ENSP00000324422,7133
ENSP00000244020,1330
ENSP00000346827,9103
ENSP00000387219,14909
ENSP00000316598,6517
ENSP00000262891,2612
ENSP00000262027,2447
ENSP00000225328,765
ENSP00000273067,3512
ENSP00000309504,5959
ENSP00000263798,2773
ENSP00000329357,7541
ENSP00000261643,2373
ENSP00000261890,2430
ENSP00000297504,4863
ENSP00000353331,9786
ENSP00000301945,5265
ENSP00000363988,11906
ENSP00000331933,7760
ENSP00000428679,16881
ENSP00000420333,16531
ENSP00000406209,15828
ENSP00000216962,447
ENSP00000369784,12825
ENSP00000273173,3518
ENSP00000378015,13711
ENSP00000264170,2844
ENSP00000295454,4608
ENSP00000352900,9741
ENSP00000329654,7563
ENSP00000471536,18386
ENSP00000294964,4556
ENSP00000370192,12886
ENSP00000442308,17437
ENSP00000370744,12969
ENSP00000361092,11309
ENSP00000361990,11495
ENSP00000270517,3400
ENSP00000369314,12733
ENSP00000289416,4265
